country	date	population	daily_confirmed	daily_death	daily_recovered	confirmed	death	recovered
United Arab Emirates	2020-01-22	9890402	0	0	0	0	0	0
Australia	2020-01-22	25499884	0	0	0	0	0	0
Brazil	2020-01-22	212559417	0	0	0	0	0	0
Germany	2020-01-22	83783942	0	0	0	0	0	0
Russia	2020-01-22	145934462	0	0	0	0	0	0
France	2020-01-22	65273511	0	0	0	0	0	0
Philippines	2020-01-22	109581078	0	0	0	0	0	0
"Korea, South"	2020-01-22	51269185	0	0	0	1	0	0
Netherlands	2020-01-22	17134872	0	0	0	0	0	0
Canada	2020-01-22	37742154	0	0	0	0	0	0
Malaysia	2020-01-22	32365999	0	0	0	0	0	0
US	2020-01-22	331002651	0	0	0	1	1	0
Mexico	2020-01-22	128932753	0	0	0	0	0	0
Japan	2020-01-22	126476461	0	0	0	2	0	0
Thailand	2020-01-22	69799978	0	0	0	4	0	2
Turkey	2020-01-22	84339067	0	0	0	0	0	0
Spain	2020-01-22	46754778	0	0	0	0	0	0
Hong Kong(China)	2020-01-22	7547652	2	0	0	0	0	0
Singapore	2020-01-22	5850342	1	0	0	0	0	0
India	2020-01-22	1380004385	0	0	0	0	0	0
Indonesia	2020-01-22	273523615	0	0	0	0	0	0
United Kingdom	2020-01-22	67886011	0	0	0	0	0	0
Vietnam	2020-01-22	97338579	2	0	0	0	0	0
China	2020-01-22	1431776124	93	1	2	548	17	28
United Arab Emirates	2020-01-23	9890402	0	0	0	0	0	0
Australia	2020-01-23	25499884	0	0	0	0	0	0
Brazil	2020-01-23	212559417	0	0	0	0	0	0
Germany	2020-01-23	83783942	0	0	0	0	0	0
Russia	2020-01-23	145934462	0	0	0	0	0	0
France	2020-01-23	65273511	2	0	0	0	0	0
Philippines	2020-01-23	109581078	0	0	0	0	0	0
"Korea, South"	2020-01-23	51269185	1	0	0	1	0	0
Netherlands	2020-01-23	17134872	0	0	0	0	0	0
Canada	2020-01-23	37742154	0	0	0	0	0	0
Malaysia	2020-01-23	32365999	0	0	0	0	0	0
US	2020-01-23	331002651	1	0	0	1	1	0
Mexico	2020-01-23	128932753	0	0	0	0	0	0
Japan	2020-01-23	126476461	0	0	0	2	0	0
Thailand	2020-01-23	69799978	1	0	1	4	0	2
Turkey	2020-01-23	84339067	0	0	0	0	0	0
Spain	2020-01-23	46754778	0	0	0	0	0	0
Hong Kong(China)	2020-01-23	7547652	0	0	0	2	0	0
Singapore	2020-01-23	5850342	2	0	0	1	0	0
India	2020-01-23	1380004385	0	0	0	0	0	0
Indonesia	2020-01-23	273523615	0	0	0	0	0	0
United Kingdom	2020-01-23	67886011	0	0	0	0	0	0
Vietnam	2020-01-23	97338579	0	0	0	2	0	0
China	2020-01-23	1431776124	277	8	6	641	18	30
United Arab Emirates	2020-01-24	9890402	0	0	0	0	0	0
Australia	2020-01-24	25499884	0	0	0	0	0	0
Brazil	2020-01-24	212559417	0	0	0	0	0	0
Germany	2020-01-24	83783942	0	0	0	0	0	0
Russia	2020-01-24	145934462	0	0	0	0	0	0
France	2020-01-24	65273511	1	0	0	2	0	0
Philippines	2020-01-24	109581078	0	0	0	0	0	0
"Korea, South"	2020-01-24	51269185	0	0	0	2	0	0
Netherlands	2020-01-24	17134872	0	0	0	0	0	0
Canada	2020-01-24	37742154	0	0	0	0	0	0
Malaysia	2020-01-24	32365999	4	0	0	0	0	0
US	2020-01-24	331002651	0	0	0	2	1	0
Mexico	2020-01-24	128932753	0	0	0	0	0	0
Japan	2020-01-24	126476461	0	0	0	2	0	0
Thailand	2020-01-24	69799978	1	0	0	5	0	3
Turkey	2020-01-24	84339067	0	0	0	0	0	0
Spain	2020-01-24	46754778	0	0	0	0	0	0
Hong Kong(China)	2020-01-24	7547652	3	0	0	2	0	0
Singapore	2020-01-24	5850342	0	0	0	3	0	0
India	2020-01-24	1380004385	0	0	0	0	0	0
Indonesia	2020-01-24	273523615	0	0	0	0	0	0
United Kingdom	2020-01-24	67886011	0	0	0	0	0	0
Vietnam	2020-01-24	97338579	0	0	0	2	0	0
China	2020-01-24	1431776124	483	16	3	918	26	36
United Arab Emirates	2020-01-25	9890402	0	0	0	0	0	0
